700
4900 700
-87 56 99 
100 -63 -59 
-105 45 -92 
46 -9 60 
-50 -60 -107 
55 32 -39 
93 -19 28 
-4 56 -62 
88 -57 -107 
41 -8 -16 
-21 -38 103 
24 -63 -41 
68 -108 -47 
7 -71 -5 
-69 -39 -81 
45 96 -102 
-61 69 25 
92 -78 -15 
-87 -103 -68 
54 65 -104 
-88 84 -56 
-41 -72 -59 
-83 -44 36 
94 48 14 
-6 -82 74 
69 83 -85 
-4 91 58 
-20 18 52 
-77 99 -62 
-99 46 -62 
64 3 -29 
-25 -19 -60 
91 101 13 
-46 -12 5 
87 91 89 
95 105 26 
93 58 60 
38 9 -21 
-66 -87 -79 
-4 -60 -50 
5 -83 87 
71 79 -67 
-50 -48 104 
-27 53 -11 
65 -16 44 
-96 2 -4 
82 101 -68 
23 61 16 
-50 48 -56 
-44 107 -83 
9 -96 81 
-2 -29 102 
38 -89 -64 
56 -44 -22 
69 38 -61 
-10 24 -47 
-92 -39 -22 
86 -35 -67 
13 34 -104 
99 103 26 
109 44 -65 
-39 -6 29 
-39 -65 61 
55 7 -73 
-37 -30 100 
-102 77 -67 
-47 50 -97 
101 39 31 
90 88 -32 
49 62 -103 
62 -6 37 
-109 -108 -98 
-61 62 -27 
5 92 -37 
-109 82 15 
-61 -72 -34 
35 -90 92 
10 25 6 
95 10 100 
-85 45 105 
18 -95 -77 
35 6 37 
-70 -37 26 
-83 -57 -41 
-95 53 20 
-95 -59 40 
8 34 17 
-44 -10 80 
100 56 -98 
6 -3 7 
80 76 -107 
20 -34 -29 
79 -12 -87 
-90 -70 7 
32 104 26 
-87 -99 -83 
-77 18 33 
73 -22 -12 
1 50 52 
-31 -47 34 
64 61 42 
-36 -1 -56 
69 -21 -80 
8 30 3 
-45 -92 76 
-55 18 -60 
-16 51 45 
42 5 65 
-73 20 75 
-7 -79 -101 
102 -15 75 
-41 -11 67 
-19 27 7 
-18 -1 -39 
-101 82 42 
39 -46 16 
-19 27 21 
-88 -21 -32 
4 -10 70 
5 -91 -6 
-49 110 -106 
-75 -22 10 
100 -85 31 
91 73 34 
-84 -10 -5 
40 -105 -77 
18 22 -102 
-38 107 74 
93 109 -105 
40 23 -8 
-11 -42 58 
57 95 28 
-37 50 31 
32 101 -47 
25 -46 7 
96 -101 51 
-49 -25 2 
-110 -64 -30 
-31 -62 -15 
82 -3 7 
100 84 -66 
83 76 -85 
-48 38 52 
-46 67 75 
-60 -95 35 
82 88 101 
-9 94 7 
81 79 83 
-34 92 -75 
-30 -102 -72 
-82 -30 38 
4 -74 -33 
55 27 -33 
36 -82 -61 
89 -110 95 
110 -36 72 
87 1 101 
-72 -65 73 
73 19 -92 
-15 108 60 
42 -47 49 
30 -60 -46 
67 30 -11 
39 96 11 
81 23 -27 
-44 -64 -11 
-28 97 44 
20 -74 32 
23 31 41 
-63 21 -71 
-53 -95 46 
-47 -105 -99 
93 88 -69 
-69 -30 91 
48 -15 -52 
100 -47 86 
38 47 27 
10 -93 91 
-93 -19 22 
29 -96 -104 
-26 27 71 
99 -73 -60 
37 109 47 
-58 -4 54 
22 14 -10 
-110 75 15 
84 15 -3 
97 -66 101 
69 -31 16 
37 22 -14 
35 -37 27 
-90 80 -67 
-85 99 51 
-87 -91 54 
103 -29 75 
-69 109 37 
-39 28 4 
91 -94 105 
-54 35 -106 
50 20 -17 
15 -96 90 
-86 10 -55 
95 -48 -89 
-70 -31 -101 
6 -77 -106 
-35 -89 -67 
61 -69 -39 
24 -58 40 
-107 -32 66 
-75 104 -90 
46 49 61 
96 85 80 
-16 38 -101 
92 35 -95 
60 -96 -77 
-12 -102 29 
83 89 27 
-94 -19 78 
37 -56 -41 
-104 -53 -48 
-50 -103 -94 
20 -37 -66 
87 73 -54 
-84 -106 100 
-99 41 -98 
-108 -14 74 
96 -5 -6 
-8 -56 -50 
-10 -75 -96 
50 57 15 
-18 -3 51 
32 -65 24 
1 104 62 
41 -65 -18 
1 4 34 
-52 60 42 
10 73 -75 
-40 2 -55 
-45 93 64 
-40 9 -21 
2 -75 12 
54 -76 16 
79 39 -17 
-22 75 -51 
104 66 -68 
-77 -31 57 
31 18 -89 
-62 4 16 
-37 49 10 
-36 17 102 
85 -108 51 
43 6 -32 
109 -3 -70 
-60 -7 -34 
-104 19 -74 
-6 96 -102 
-70 -60 83 
58 -79 -28 
3 -42 -5 
-93 -104 7 
52 94 5 
-11 -110 80 
7 -49 19 
32 -68 43 
24 86 37 
49 84 110 
74 27 39 
93 17 79 
3 82 -101 
88 -32 -69 
30 1 -75 
-68 -17 9 
-27 43 -34 
28 -46 -56 
-1 -68 96 
61 2 -47 
-7 -98 15 
11 108 66 
32 -87 97 
50 -25 -35 
-70 108 19 
100 -16 -15 
-37 10 78 
32 -46 96 
-68 35 -77 
-74 -3 -71 
100 -87 4 
84 17 14 
60 -41 -74 
-97 16 93 
-26 -82 29 
-85 -53 -101 
-92 -30 -98 
-23 -30 -36 
44 61 110 
-53 40 89 
-95 110 -86 
-70 71 44 
-86 71 -75 
5 -97 -58 
84 -40 -44 
39 65 71 
71 -2 72 
44 42 -74 
68 8 -95 
80 -13 -24 
-100 105 -44 
62 -80 89 
-26 18 -86 
-98 -93 96 
-66 -78 -36 
68 81 -97 
-88 93 74 
-110 31 -65 
63 -7 -73 
-72 44 38 
-99 -91 100 
80 71 3 
91 26 -39 
-26 63 65 
-58 -72 -87 
-4 57 -91 
13 110 -33 
-23 -24 -85 
-9 -95 39 
-6 30 -110 
-91 18 14 
-34 24 -45 
-16 61 -2 
76 -20 55 
43 -98 -56 
110 61 -88 
-59 56 12 
-81 28 110 
-43 -94 30 
-13 -30 -110 
28 -71 29 
104 32 106 
54 -106 35 
-64 -10 36 
-105 -9 53 
-72 -105 -84 
41 -104 90 
-43 -52 -110 
-20 59 -87 
79 36 -91 
34 -101 52 
66 -21 46 
50 -100 -96 
-17 86 -39 
-77 109 5 
-5 -54 24 
108 -17 -25 
-86 2 71 
-52 -68 3 
-60 -28 32 
98 89 -105 
16 -33 72 
-11 51 -25 
-108 64 -34 
-33 -102 -13 
-6 43 76 
56 -70 -33 
-40 -10 -49 
-30 -89 -14 
-49 -10 -48 
48 -80 -37 
14 25 50 
-44 82 58 
-43 66 -17 
3 67 -4 
-43 -65 48 
-59 92 -43 
-47 72 -56 
33 97 -46 
44 -45 21 
-16 -28 -103 
81 56 -52 
98 -100 -41 
-24 -16 81 
23 108 58 
-81 60 -69 
-34 -94 -10 
-55 94 53 
80 50 51 
64 -31 3 
52 45 107 
-76 42 -103 
-39 -71 -84 
-16 -27 -49 
-72 30 88 
11 -92 -97 
17 68 36 
-109 -82 -13 
81 79 -96 
76 -106 91 
-104 -80 -2 
85 104 -62 
-62 -1 77 
34 -54 108 
-80 -38 -28 
-81 -84 68 
77 38 29 
-109 41 100 
106 67 16 
94 66 -76 
-14 -19 -21 
-64 -10 102 
-5 56 -72 
14 -42 -29 
12 -25 -42 
-69 -88 -15 
-9 69 -71 
-105 -70 65 
3 102 81 
109 -31 65 
35 -44 -2 
-20 108 -90 
-92 -104 -37 
84 -73 -46 
4 -12 -40 
79 31 66 
38 17 -36 
100 -95 63 
101 40 -107 
12 -48 -100 
-6 -59 8 
88 4 44 
83 10 -32 
-70 -26 -27 
44 73 -8 
10 -20 47 
-45 -68 16 
-25 -55 -46 
-44 50 -107 
31 -49 21 
-26 -93 54 
-85 45 -103 
-27 -47 -18 
43 -37 48 
97 -27 -102 
-41 90 -57 
19 26 101 
-85 42 59 
100 -46 -89 
-91 -71 -2 
-47 -8 -46 
49 11 13 
-51 -106 -70 
51 88 -9 
4 -105 54 
71 13 28 
103 -54 31 
34 49 -103 
84 13 -74 
6 -22 110 
-82 1 -47 
-80 60 98 
9 -75 88 
68 -81 27 
-88 -89 -76 
107 71 -64 
-110 -18 -19 
27 2 26 
19 -71 -104 
-98 -79 55 
-17 -52 4 
-40 -94 -69 
9 108 -63 
57 -21 27 
-16 53 96 
4 -22 -92 
59 -31 60 
78 97 29 
96 78 51 
29 -33 -58 
56 107 -85 
-4 -63 -106 
94 -46 -71 
-43 -61 -60 
98 102 -110 
-108 -62 -99 
47 102 55 
-17 39 70 
70 -94 -96 
-96 -64 49 
-88 -106 -6 
69 -14 96 
-38 74 80 
32 11 -5 
76 -15 35 
-69 87 -29 
69 11 -10 
-95 -62 -30 
-85 -91 92 
-59 -73 27 
16 46 2 
40 78 -66 
6 -7 -42 
-7 45 -81 
110 -82 42 
51 81 -64 
-108 -55 -41 
-43 110 69 
75 42 -74 
14 29 68 
73 105 104 
99 -45 -64 
92 40 -58 
78 88 25 
-28 -37 83 
9 -55 -21 
-11 -69 4 
-23 79 40 
-64 97 31 
32 55 -90 
30 48 -15 
9 61 54 
12 48 11 
104 -81 15 
-77 -91 97 
17 -13 75 
-16 -72 -74 
110 96 36 
39 31 -24 
-96 -21 63 
-110 93 59 
88 -28 -84 
-40 -96 -43 
18 -34 110 
-14 73 74 
-12 45 22 
-83 95 63 
5 75 35 
17 -57 65 
70 -2 4 
-73 90 -93 
-19 -24 85 
20 85 -54 
38 -71 -39 
13 61 84 
-8 -5 102 
82 -80 91 
26 -65 55 
85 -40 67 
-40 -50 9 
-92 86 36 
-94 -6 -1 
75 83 46 
47 105 55 
39 62 -93 
79 -19 -36 
35 86 76 
-16 15 105 
76 -80 9 
64 -11 92 
108 27 36 
-103 -65 3 
-90 -5 -66 
-100 32 68 
28 6 -51 
-28 -50 25 
-91 76 -8 
-35 -13 -2 
89 -87 99 
86 3 -47 
-24 39 -49 
-82 87 -110 
-99 23 -109 
67 -97 -55 
89 -73 32 
-29 14 -59 
-69 87 45 
-65 29 -77 
-19 -74 72 
-58 -55 -106 
-110 87 -94 
-17 -11 76 
-6 -34 35 
57 -6 -5 
52 27 -25 
18 -5 60 
-100 79 -14 
-70 35 17 
36 -63 -10 
11 -24 5 
-9 -88 -16 
-72 78 -47 
-67 -102 110 
-87 -21 69 
-74 -72 64 
-90 -6 -1 
73 35 -57 
-84 77 -81 
90 26 87 
88 85 -109 
-65 33 -1 
-45 -100 110 
80 -82 85 
-7 -35 -50 
21 -61 -36 
14 57 11 
-88 57 27 
-96 -18 106 
94 -74 -85 
93 -77 -8 
107 109 -56 
-44 -101 -13 
-95 63 78 
30 7 109 
62 22 -69 
36 6 -13 
86 -9 93 
30 -40 11 
39 -69 -44 
-104 -19 10 
21 94 22 
-3 2 49 
28 -78 65 
83 -15 -86 
5 51 102 
30 -24 -34 
90 60 -61 
53 73 75 
-25 -84 66 
-83 104 -64 
14 -37 91 
-107 -67 98 
55 38 -106 
-70 -80 25 
41 -63 -102 
-18 -107 -39 
61 40 -65 
-62 -63 -94 
-40 68 60 
-102 -67 81 
-41 89 37 
47 105 -49 
-99 63 26 
61 72 91 
-28 18 74 
-39 42 -14 
85 -59 52 
98 48 6 
37 -80 110 
-25 8 44 
23 46 -86 
93 96 -46 
-87 106 -42 
20 -46 31 
-44 -88 19 
-22 97 -70 
95 6 -65 
-24 -16 -70 
17 -15 -48 
-80 55 -77 
-78 7 60 
-59 -35 -94 
-2 -90 -17 
84 104 -110 
80 108 21 
-36 -22 -47 
-15 45 -110 
-56 -24 53 
-58 -65 23 
23 -55 -49 
84 26 15 
-96 25 -46 
-58 78 -92 
29 97 27 
102 -66 57 
33 -83 -72 
-48 -89 106 
51 22 97 
104 -51 -14 
-23 93 12 
-15 -56 -94 
58 41 66 
-72 -75 -52 
-85 101 13 
-44 33 96 
67 -16 -65 
-28 -50 98 
-13 66 -87 
27 -98 -74 
43 -19 8 
-37 -31 25 
48 -109 -66 
47 -105 15 
-106 84 -15 
43 -55 -9 
-59 -10 -4 
-100 -48 -84 
5 19 60 
-46 -38 -92 
-51 -39 49 
32 37 31 
-10 109 78 
-49 -59 69 
-5 -12 38 
